Fresh	Milk	Grocery	Frozen	DetergentsPaper	Delicatessen
12669	9656	7561	214	2674	1338
7057	9810	9568	1762	3293	1776
6353	8808	7684	2405	3516	7844
13265	1196	4221	6404	507	1788
22615	5410	7198	3915	1777	5185
9413	8259	5126	666	1795	1451
12126	3199	6975	480	3140	545
7579	4956	9426	1669	3321	2566
5963	3648	6192	425	1716	750
6006	11093	18881	1159	7425	2098
3366	5403	12974	4400	5977	1744
13146	1124	4523	1420	549	497
31714	12319	11757	287	3881	2931
21217	6208	14982	3095	6707	602
24653	9465	12091	294	5058	2168
10253	1114	3821	397	964	412
1020	8816	12121	134	4508	1080
5876	6157	2933	839	370	4478
18601	6327	10099	2205	2767	3181
7780	2495	9464	669	2518	501
17546	4519	4602	1066	2259	2124
5567	871	2010	3383	375	569
31276	1917	4469	9408	2381	4334
26373	36423	22019	5154	4337	16523
22647	9776	13792	2915	4482	5778
16165	4230	7595	201	4003	57
9898	961	2861	3151	242	833
14276	803	3045	485	100	518
4113	20484	25957	1158	8604	5206
43088	2100	2609	1200	1107	823
18815	3610	11107	1148	2134	2963
2612	4339	3133	2088	820	985
21632	1318	2886	266	918	405
29729	4786	7326	6130	361	1083
1502	1979	2262	425	483	395
688	5491	11091	833	4239	436
29955	4362	5428	1729	862	4626
15168	10556	12477	1920	6506	714
4591	15729	16709	33	6956	433
56159	555	902	10002	212	2916
24025	4332	4757	9510	1145	5864
19176	3065	5956	2033	2575	2802
10850	7555	14961	188	6899	46
630	11095	23998	787	9529	72
9670	7027	10471	541	4618	65
5181	22044	21531	1740	7353	4985
3103	14069	21955	1668	6792	1452
44466	54259	55571	7782	24171	6465
11519	6152	10868	584	5121	1476
4967	21412	28921	1798	13583	1163
6269	1095	1980	3860	609	2162
3347	4051	6996	239	1538	301
40721	3916	5876	532	2587	1278
491	10473	11532	744	5611	224
27329	1449	1947	2436	204	1333
5264	3683	5005	1057	2024	1130
4098	29892	26866	2616	17740	1340
5417	9933	10487	38	7572	1282
13779	1970	1648	596	227	436
6137	5360	8040	129	3084	1603
8590	3045	7854	96	4095	225
35942	38369	59598	3254	26701	2017
7823	6245	6544	4154	4074	964
9396	11601	15775	2896	7677	1295
4760	1227	3250	3724	1247	1145
85	20959	45828	36	24231	1423
9	1534	7417	175	3468	27
19913	6759	13462	1256	5141	834
2446	7260	3993	5870	788	3095
8352	2820	1293	779	656	144
16705	2037	3202	10643	116	1365
18291	1266	21042	5373	4173	14472
4420	5139	2661	8872	1321	181
19899	5332	8713	8132	764	648
8190	6343	9794	1285	1901	1780
20398	1137	3	4407	3	975
717	3587	6532	7530	529	894
12205	12697	28540	869	12034	1009
10766	1175	2067	2096	301	167
1640	3259	3655	868	1202	1653
7005	829	3009	430	610	529
219	9540	14403	283	7818	156
10362	9232	11009	737	3537	2342
20874	1563	1783	2320	550	772
11867	3327	4814	1178	3837	120
16117	46197	92780	1026	40827	2944
22925	73498	32114	987	20070	903
43265	5025	8117	6312	1579	14351
7864	542	4042	9735	165	46
24904	3836	5330	3443	454	3178
11405	596	1638	3347	69	360
12754	2762	2530	8693	627	1117
9198	27472	32034	3232	18906	5130
11314	3090	2062	35009	71	2698
5626	12220	11323	206	5038	244
3	2920	6252	440	223	709
23	2616	8118	145	3874	217
403	254	610	774	54	63
503	112	778	895	56	132
9658	2182	1909	5639	215	323
11594	7779	12144	3252	8035	3029
1420	10810	16267	1593	6766	1838
2932	6459	7677	2561	4573	1386
56082	3504	8906	18028	1480	2498
14100	2132	3445	1336	1491	548
15587	1014	3970	910	139	1378
1454	6337	10704	133	6830	1831
8797	10646	14886	2471	8969	1438
1531	8397	6981	247	2505	1236
1406	16729	28986	673	836	3
11818	1648	1694	2276	169	1647
12579	11114	17569	805	6457	1519
19046	2770	2469	8853	483	2708
14438	2295	1733	3220	585	1561
18044	1080	2000	2555	118	1266
11134	793	2988	2715	276	610
11173	2521	3355	1517	310	222
6990	3880	5380	1647	319	1160
20049	1891	2362	5343	411	933
8258	2344	2147	3896	266	635
17160	1200	3412	2417	174	1136
4020	3234	1498	2395	264	255
12212	201	245	1991	25	860
11170	10769	8814	2194	1976	143
36050	1642	2961	4787	500	1621
76237	3473	7102	16538	778	918
19219	1840	1658	8195	349	483
21465	7243	10685	880	2386	2749
140	8847	3823	142	1062	3
42312	926	1510	1718	410	1819
7149	2428	699	6316	395	911
2101	589	314	346	70	310
14903	2032	2479	576	955	328
9434	1042	1235	436	256	396
7388	1882	2174	720	47	537
6300	1289	2591	1170	199	326
4625	8579	7030	4575	2447	1542
3087	8080	8282	661	721	36
13537	4257	5034	155	249	3271
5387	4979	3343	825	637	929
17623	4280	7305	2279	960	2616
30379	13252	5189	321	51	1450
37036	7152	8253	2995	20	3
10405	1596	1096	8425	399	318
18827	3677	1988	118	516	201
22039	8384	34792	42	12591	4430
7769	1936	2177	926	73	520
9203	3373	2707	1286	1082	526
5924	584	542	4052	283	434
31812	1433	1651	800	113	1440
16225	1825	1765	853	170	1067
1289	3328	2022	531	255	1774
18840	1371	3135	3001	352	184
3463	9250	2368	779	302	1627
622	55	137	75	7	8
1989	10690	19460	233	11577	2153
3830	5291	14855	317	6694	3182
17773	1366	2474	3378	811	418
2861	6570	9618	930	4004	1682
355	7704	14682	398	8077	303
1725	3651	12822	824	4424	2157
12434	540	283	1092	3	2233
15177	2024	3810	2665	232	610
5531	15726	26870	2367	13726	446
5224	7603	8584	2540	3674	238
15615	12653	19858	4425	7108	2379
4822	6721	9170	993	4973	3637
2926	3195	3268	405	1680	693
5809	735	803	1393	79	429
5414	717	2155	2399	69	750
260	8675	13430	1116	7015	323
200	25862	19816	651	8773	6250
955	5479	6536	333	2840	707
514	7677	19805	937	9836	716
286	1208	5241	2515	153	1442
2343	7845	11874	52	4196	1697
45640	6958	6536	7368	1532	230
12759	7330	4533	1752	20	2631
11002	7075	4945	1152	120	395
3157	4888	2500	4477	273	2165
12356	6036	8887	402	1382	2794
112151	29627	18148	16745	4948	8550
694	8533	10518	443	6907	156
36847	43950	20170	36534	239	47943
327	918	4710	74	334	11
8170	6448	1139	2181	58	247
3009	521	854	3470	949	727
2438	8002	9819	6269	3459	3
8040	7639	11687	2758	6839	404
834	11577	11522	275	4027	1856
16936	6250	1981	7332	118	64
13624	295	1381	890	43	84
5509	1461	2251	547	187	409
180	3485	20292	959	5618	666
7107	1012	2974	806	355	1142
17023	5139	5230	7888	330	1755
